metric,factor,H_U,p,effect_size,effect_size_type,effect_size_note,kw_anova_note,table,Source,SS,DF,MS,F,p_unc,np2,p_BH_corrected,slope,R2,p_value,CI_lower,CI_upper,cond_innovation_coef,cond_unconstrained_coef,adj_R2,F_stat
US_Distinctive_Term_Frequency,model,6515.0,1.7790290575933005e-12,-0.6086419753086421,rank_biserial_r,"negative=Gemini higher than ChatGPT on this metric; small>=0.1, medium>=0.3, large>=0.5",,kruskal_wallis,,,,,,,,,,,,,,,,,
jsd_score,,,,,,,,anova,model,0.0025698795189723,1.0,0.0025698795189723,9.728312109121092,0.0021481504576345,0.0566494364827824,0.0031327194173837,,,,,,,,,
jsd_score,,,,,,,,anova,domain,0.2673066027206659,2.0,0.1336533013603329,505.9462984349145,2.1419962857891404e-70,0.8619975963457209,7.496987000261991e-69,,,,,,,,,
jsd_score,,,,,,,,anova,condition,0.3609919393414812,2.0,0.1804959696707406,683.269824298071,1.1073956270676936e-79,0.8940164881239516,7.751769389473854e-78,,,,,,,,,
jsd_score,,,,,,,,anova,model * domain,0.0115208280691038,2.0,0.0057604140345519,21.80612172367237,4.10912609599433e-09,0.2121091755827926,1.1241650926311694e-08,,,,,,,,,
jsd_score,,,,,,,,anova,model * condition,0.0163696736513235,2.0,0.0081848368256617,30.983805510893127,4.033792507113486e-12,0.2766811269677668,1.4861340815681263e-11,,,,,,,,,
jsd_score,,,,,,,,anova,domain * condition,0.0644529613190554,4.0,0.0161132403297638,60.996879371180086,2.384296160524375e-31,0.6009729535438315,1.8544525692967363e-30,,,,,,,,,
jsd_score,,,,,,,,anova,model * domain * condition,0.0135388111699918,4.0,0.0033847027924979,12.812836134513264,4.3806226687951864e-09,0.2403330429126914,1.1357169882061592e-08,,,,,,,,,
jsd_score,,,,,,,,anova,Residual,0.0427947291784747,162.0,0.0002641649949288,,,,,,,,,,,,,
bert_score_f1,,,,,,,,anova,model,0.0082395745332239,1.0,0.0082395745332239,75.1339841998202,4.332853625993682e-15,0.3168419088193989,1.7841161989385752e-14,,,,,,,,,
bert_score_f1,,,,,,,,anova,domain,0.078434654063881,2.0,0.0392173270319405,357.60997339071264,3.7925193837523695e-60,0.8153256767651168,6.6369089215666465e-59,,,,,,,,,
bert_score_f1,,,,,,,,anova,condition,0.0764153650938188,2.0,0.0382076825469094,348.4033556849218,2.114396218639141e-59,0.8113661690631164,2.960154706094797e-58,,,,,,,,,
bert_score_f1,,,,,,,,anova,model * domain,0.0061683389581733,2.0,0.0030841694790866,28.123532347076058,3.2801586943448806e-11,0.25772197565624,1.1480555430207083e-10,,,,,,,,,
bert_score_f1,,,,,,,,anova,model * condition,0.0080869988260569,2.0,0.0040434994130284,36.87134812428137,6.356502510631454e-14,0.3128100994094417,2.4719731985788985e-13,,,,,,,,,
bert_score_f1,,,,,,,,anova,domain * condition,0.0137524336759164,4.0,0.0034381084189791,31.350985731998957,2.4730138453876945e-19,0.4363334116102006,1.154073127847591e-18,,,,,,,,,
bert_score_f1,,,,,,,,anova,model * domain * condition,0.0060215541928864,4.0,0.0015053885482216,13.727145611779202,1.1609920943877276e-09,0.2531415853980961,3.5334542003104758e-09,,,,,,,,,
bert_score_f1,,,,,,,,anova,Residual,0.0177657432731415,162.0,0.0001096650819329,,,,,,,,,,,,,
mattr,,,,,,,,anova,model,0.0014581829653969,1.0,0.0014581829653969,6.506803065519592,0.0116726092238897,0.0386144829000736,0.0163416529134456,,,,,,,,,
mattr,,,,,,,,anova,domain,0.0866012386287103,2.0,0.0433006193143551,193.2189644094817,1.262961557800376e-43,0.7046156155741093,1.1050913630753293e-42,,,,,,,,,
mattr,,,,,,,,anova,condition,0.1329926862814892,2.0,0.0664963431407446,296.72449868200124,6.856446598707475e-55,0.7855579919157103,6.856446598707473e-54,,,,,,,,,
mattr,,,,,,,,anova,model * domain,0.0023484724676973,2.0,0.0011742362338486,5.239756674822325,0.0062370210236515,0.0607580178429709,0.0089100300337879,,,,,,,,,
mattr,,,,,,,,anova,model * condition,0.0097644496657615,2.0,0.0048822248328807,21.785795241749355,4.175470344058629e-09,0.2119533656426918,1.1241650926311694e-08,,,,,,,,,
mattr,,,,,,,,anova,domain * condition,0.0136793251620163,4.0,0.003419831290504,15.26020345365542,1.3075786369361608e-10,0.2736755339556606,4.1604774811605116e-10,,,,,,,,,
mattr,,,,,,,,anova,model * domain * condition,0.0024683536026878,4.0,0.0006170884006719,2.753613773080901,0.0298803326682286,0.0636620511647197,0.0366951453820351,,,,,,,,,
mattr,,,,,,,,anova,Residual,0.0363044090954733,162.0,0.0002241012907127,,,,,,,,,,,,,
hedge_density,,,,,,,,anova,model,0.7849717263529935,1.0,0.7849717263529935,28.790652506590877,2.747554084860612e-07,0.1509017980091886,6.010274560632588e-07,,,,,,,,,
hedge_density,,,,,,,,anova,domain,0.594533814761977,2.0,0.2972669073809885,10.90295095325039,3.610776000749385e-05,0.1186354827582908,6.48088000134505e-05,,,,,,,,,
hedge_density,,,,,,,,anova,condition,0.233385692037491,2.0,0.1166928460187455,4.279979860344695,0.0154408893376358,0.0501873929538167,0.0202491490165068,,,,,,,,,
hedge_density,,,,,,,,anova,model * domain,0.4032534257218594,2.0,0.2016267128609297,7.395125749299629,0.0008444866210108,0.083659881544523,0.0013136458549057,,,,,,,,,
hedge_density,,,,,,,,anova,model * condition,0.0736687315442623,2.0,0.0368343657721311,1.3509855064119904,0.2618868332172044,0.0164052135879636,0.2864387238313173,,,,,,,,,
hedge_density,,,,,,,,anova,domain * condition,0.3446051878481097,4.0,0.0861512969620274,3.1597979526595856,0.0156207720984481,0.0723731693876769,0.0202491490165068,,,,,,,,,
hedge_density,,,,,,,,anova,model * domain * condition,0.2277583818605283,4.0,0.056939595465132,2.0883912781404907,0.0846827714844747,0.0490366321775673,0.1004710848120886,,,,,,,,,
hedge_density,,,,,,,,anova,Residual,4.416899535016572,162.0,0.0272648119445467,,,,,,,,,,,,,
mean_sent_len,,,,,,,,anova,model,2108.2339155231834,1.0,2108.2339155231834,165.41061775565032,1.5503269313828612e-26,0.5052084715196923,9.865716836072752e-26,,,,,,,,,
mean_sent_len,,,,,,,,anova,domain,456.9769391005309,2.0,228.48846955026545,17.927051936726563,9.263307725996756e-08,0.1812148607055697,2.23597083041301e-07,,,,,,,,,
mean_sent_len,,,,,,,,anova,condition,1540.3748854289013,2.0,770.1874427144506,60.4283897289579,2.4764080238892e-20,0.4272719914634296,1.2382040119445997e-19,,,,,,,,,
mean_sent_len,,,,,,,,anova,model * domain,396.1382788190541,2.0,198.06913940952705,15.540371714364262,6.696690516055575e-07,0.1609727768642101,1.420510109466334e-06,,,,,,,,,
mean_sent_len,,,,,,,,anova,model * condition,61.01392265698802,2.0,30.50696132849401,2.393555706526836,0.0945267475123929,0.0287019265007727,0.1067237471914114,,,,,,,,,
mean_sent_len,,,,,,,,anova,domain * condition,468.8520207665125,4.0,117.21300519162811,9.19645370230752,1.012343171673403e-06,0.1850525141571722,2.024686343346806e-06,,,,,,,,,
mean_sent_len,,,,,,,,anova,model * domain * condition,350.99578332159524,4.0,87.74894583039881,6.88472338403274,3.830906430038086e-05,0.1452941558450184,6.704086252566651e-05,,,,,,,,,
mean_sent_len,,,,,,,,anova,Residual,2064.7640335838664,162.0,12.745456997431274,,,,,,,,,,,,,
sent_len_var,,,,,,,,anova,model,54.64823498972802,1.0,54.64823498972802,0.001072787901936,0.973911526555185,6.622103690267274e-06,0.973911526555185,,,,,,,,,
sent_len_var,,,,,,,,anova,domain,119184.66115697609,2.0,59592.33057848804,1.1698443930493028,0.3130234699211729,0.0142369065158928,0.3371021983766478,,,,,,,,,
sent_len_var,,,,,,,,anova,condition,8773572.890114717,2.0,4386786.445057359,86.11607360272566,3.332809107897563e-26,0.5153069465205596,1.9441386462735785e-25,,,,,,,,,
sent_len_var,,,,,,,,anova,model * domain,447959.1939817384,2.0,223979.5969908692,4.396895928614624,0.013819032922813,0.0514877722521682,0.0189673000901355,,,,,,,,,
sent_len_var,,,,,,,,anova,model * condition,1047028.6792526352,2.0,523514.3396263176,10.276998884716123,6.280829234753699e-05,0.1125913319925876,0.0001072336698616,,,,,,,,,
sent_len_var,,,,,,,,anova,domain * condition,1152162.2126241983,4.0,288040.5531560496,5.654462962085643,0.0002759985729407,0.1225117269099327,0.0004599976215679,,,,,,,,,
sent_len_var,,,,,,,,anova,model * domain * condition,2094107.2317671208,4.0,523526.8079417803,10.27724364757056,1.927811748016149e-07,0.2023986122386199,4.35312330197195e-07,,,,,,,,,
sent_len_var,,,,,,,,anova,Residual,8252343.312559004,162.0,50940.390818265456,,,,,,,,,,,,,
Care_Fairness_Score,,,,,,,,anova,model,282.1770378552594,1.0,282.1770378552594,40.43005824372111,1.989308781676383e-09,0.1997235914196312,5.8021506132227845e-09,,,,,,,,,
Care_Fairness_Score,,,,,,,,anova,domain,4461.117879965032,2.0,2230.558939982516,319.5923684825267,5.866379303063146e-57,0.7977994430926532,6.844109186907004e-56,,,,,,,,,
Care_Fairness_Score,,,,,,,,anova,condition,60.43281456034336,2.0,30.21640728017168,4.329378164639946,0.0147333494456861,0.0507372520198912,0.0198333550230391,,,,,,,,,
Care_Fairness_Score,,,,,,,,anova,model * domain,56.65606161872237,2.0,28.328030809361184,4.058813375664798,0.0190555562368021,0.0477177286466356,0.0242525261195663,,,,,,,,,
Care_Fairness_Score,,,,,,,,anova,model * condition,24.52728602381232,2.0,12.26364301190616,1.7571231345404386,0.1758127412527619,0.0212322887503452,0.1953474902808465,,,,,,,,,
Care_Fairness_Score,,,,,,,,anova,domain * condition,224.7106003429578,4.0,56.17765008573945,8.049080400818648,6.05951137170878e-06,0.1657926439464118,1.1463940432962558e-05,,,,,,,,,
Care_Fairness_Score,,,,,,,,anova,model * domain * condition,56.38655984393221,4.0,14.096639960983053,2.019753198187769,0.0940884339754026,0.0475015268497337,0.1067237471914114,,,,,,,,,
Care_Fairness_Score,,,,,,,,anova,Residual,1130.6607538625378,162.0,6.979387369521838,,,,,,,,,,,,,
Authority_Loyalty_Score,,,,,,,,anova,model,561.9999560655233,1.0,561.9999560655233,12.508070164532716,0.0005286493402315,0.0716761703498276,0.000860591949214,,,,,,,,,
Authority_Loyalty_Score,,,,,,,,anova,domain,40267.378161200206,2.0,20133.689080600103,448.1025184665159,9.5622567875238e-67,0.8469105756011893,2.2311932504222202e-65,,,,,,,,,
Authority_Loyalty_Score,,,,,,,,anova,condition,592.0856319945019,2.0,296.0428159972509,6.588833814370871,0.0017739372831221,0.0752245865989578,0.0026420342514585,,,,,,,,,
Authority_Loyalty_Score,,,,,,,,anova,model * domain,335.60142523374634,2.0,167.80071261687317,3.734632119483181,0.0259626918323796,0.0440744477915125,0.0324533647904746,,,,,,,,,
Authority_Loyalty_Score,,,,,,,,anova,model * condition,256.3548729294821,2.0,128.17743646474105,2.8527624450988265,0.0605869637310415,0.0340210908014703,0.0731221976064294,,,,,,,,,
Authority_Loyalty_Score,,,,,,,,anova,domain * condition,1432.1125913512126,4.0,358.02814783780315,7.968401324057788,6.879333020720738e-06,0.1644040468919405,1.2672455564485571e-05,,,,,,,,,
Authority_Loyalty_Score,,,,,,,,anova,model * domain * condition,1943.531034342378,4.0,485.8827585855945,10.813978845608236,8.545260890241474e-08,0.2107413825410999,2.136315222560368e-07,,,,,,,,,
Authority_Loyalty_Score,,,,,,,,anova,Residual,7278.820128525882,162.0,44.93098844769063,,,,,,,,,,,,,
Technocratic_Framing_Score,,,,,,,,anova,model,31.888242463807256,1.0,31.888242463807256,26.229634795801296,8.519030055841617e-07,0.1393491244046465,1.753917952673274e-06,,,,,,,,,
Technocratic_Framing_Score,,,,,,,,anova,domain,31.78736326539398,2.0,15.89368163269699,13.07332836732964,5.451289277789742e-06,0.1389695527331828,1.0599729151257832e-05,,,,,,,,,
Technocratic_Framing_Score,,,,,,,,anova,condition,42.63539787905757,2.0,21.317698939528785,17.53484716209477,1.2779353947341617e-07,0.1779557960165003,2.981849254379711e-07,,,,,,,,,
Technocratic_Framing_Score,,,,,,,,anova,model * domain,2.378904914251536,2.0,1.189452457125768,0.9783826622865072,0.3781285835439771,0.0119346421643495,0.3950597141504239,,,,,,,,,
Technocratic_Framing_Score,,,,,,,,anova,model * condition,18.599142145593472,2.0,9.299571072796736,7.649350799872632,0.0006692158355572,0.0862877249619251,0.0010646615565683,,,,,,,,,
Technocratic_Framing_Score,,,,,,,,anova,domain * condition,2.452508639028371,4.0,0.6131271597570928,0.5043269945676196,0.7325995905026159,0.0122993603732219,0.743216975872219,,,,,,,,,
Technocratic_Framing_Score,,,,,,,,anova,model * domain * condition,5.052768542812341,4.0,1.2631921357030853,1.0390371446161013,0.3888381556302675,0.0250135105683539,0.4002745719723342,,,,,,,,,
Technocratic_Framing_Score,,,,,,,,anova,Residual,196.94880692596243,162.0,1.215733376086188,,,,,,,,,,,,,
US_Distinctive_Term_Frequency,,,,,,,,anova,model,23780.072767092923,1.0,23780.072767092923,185.63910549160568,1.1742436106823126e-28,0.5339994913089208,8.219705274776188e-28,,,,,,,,,
US_Distinctive_Term_Frequency,,,,,,,,anova,domain,20461.947859287884,2.0,10230.973929643942,79.86808397135202,7.298363793781724e-25,0.4964818502194334,3.929888196651697e-24,,,,,,,,,
US_Distinctive_Term_Frequency,,,,,,,,anova,condition,7144.326982030304,2.0,3572.163491015152,27.886089400848004,3.9131102333129305e-11,0.2561033237054689,1.3043700777709772e-10,,,,,,,,,
US_Distinctive_Term_Frequency,,,,,,,,anova,model * domain,1801.9094916638328,2.0,900.9547458319164,7.033301989559059,0.0011772811451205,0.0798936519544981,0.001791514786053,,,,,,,,,
US_Distinctive_Term_Frequency,,,,,,,,anova,model * condition,630.3479743624133,2.0,315.17398718120666,2.460405299327206,0.0885863663515169,0.0294799107493315,0.1033507607434364,,,,,,,,,
US_Distinctive_Term_Frequency,,,,,,,,anova,domain * condition,14200.97976183612,4.0,3550.2449404590297,27.71498226594715,1.548515163284298e-17,0.4062887850339944,6.774753839368804e-17,,,,,,,,,
US_Distinctive_Term_Frequency,,,,,,,,anova,model * domain * condition,548.3857886328796,4.0,137.0964471582199,1.0702432269991915,0.373059026034785,0.025745416526793,0.3950597141504239,,,,,,,,,
US_Distinctive_Term_Frequency,,,,,,,,anova,Residual,20751.941128283728,162.0,128.09840202644276,,,,,,,,,,,,,
jsd_score,,,,,,,,regression_condition,,,,,,,,,0.0288712066457512,0.1283127135096322,7.925039341267945e-07,0.0178162634170781,0.0399261498744244,,,,
bert_score_f1,,,,,,,,regression_condition,,,,,,,,,-0.0171345144510269,0.1639530240437491,1.7208724770000873e-08,-0.0228187687219958,-0.0114502601800579,,,,
mattr,,,,,,,,regression_condition,,,,,,,,,0.0102342008476521,0.0440052897829622,0.0047085004574631,0.0032265039682151,0.0172418977270891,,,,
hedge_density,,,,,,,,regression_condition,,,,,,,,,-0.0437808468310068,0.0324917390095439,0.0154612997031969,-0.0788779353272104,-0.0086837583348031,,,,
mean_sent_len,,,,,,,,regression_condition,,,,,,,,,-2.345761415228921,0.0886639695513387,4.916178624605549e-05,-3.450591759027579,-1.2409310714302637,,,,
sent_len_var,,,,,,,,regression_condition,,,,,,,,,-178.25705700822684,0.1742208480877803,5.567818809809961e-09,-235.2701625146812,-121.2439515017725,,,,
Care_Fairness_Score,,,,,,,,regression_condition,,,,,,,,,0.6557699724653886,0.0081954618962896,0.2268192819595353,-0.4040300505303561,1.7155699954611334,,,,
Authority_Loyalty_Score,,,,,,,,regression_condition,,,,,,,,,0.7122169364938857,0.001155739539198,0.6505056069770846,-2.363718891793747,3.7881527647815183,,,,
Technocratic_Framing_Score,,,,,,,,regression_condition,,,,,,,,,0.0669673699732869,0.0016222051958971,0.5913914624233174,-0.1770967149665465,0.3110314549131204,,,,
US_Distinctive_Term_Frequency,,,,,,,,regression_condition,,,,,,,,,7.512468249912497,0.0758225279423355,0.0001831614889797,3.6593948810921497,11.365541618732845,,,,
jsd_score,,,,,,,,regression_full_model,,,,,,,,,,0.809277306202073,1.1319502657822471e-60,,,0.1096434714647595,0.0577424132915026,0.8037967690239717,147.66386576770478
bert_score_f1,,,,,,,,regression_full_model,,,,,,,,,,0.7589633978742009,7.224907559931971e-52,,,-0.0492220411698022,-0.0342690289020536,0.7520370587326549,109.57641293100194
mattr,,,,,,,,regression_full_model,,,,,,,,,,0.7739455867515701,2.7969690394486476e-54,,,0.0651031406594162,0.0204684016953044,0.767449770278914,119.14523601605332
hedge_density,,,,,,,,regression_full_model,,,,,,,,,,0.2278392152223383,1.2211850990770948e-08,,,-0.052965325761086,-0.0875616936620135,0.2056506869241295,10.26833380565994
mean_sent_len,,,,,,,,regression_full_model,,,,,,,,,,0.5512814439733889,1.3637767490565083e-28,,,-7.036345844081275,-4.691522830457835,0.5383872325933139,42.75418075007399
sent_len_var,,,,,,,,regression_full_model,,,,,,,,,,0.4063165704085866,3.29819896018262e-18,,,-530.4112663159747,-356.51411401645345,0.3892567017421666,23.81709838179273
Care_Fairness_Score,,,,,,,,regression_full_model,,,,,,,,,,0.7628998343255224,1.7378128130763255e-52,,,1.1255758830782925,1.311539944930778,0.756086611173957,111.97341072708504
Authority_Loyalty_Score,,,,,,,,regression_full_model,,,,,,,,,,0.7864653135725221,2.0147110431287744e-56,,,-2.93200889432069,1.4244338729877808,0.780329259364836,128.1711808522454
Technocratic_Framing_Score,,,,,,,,regression_full_model,,,,,,,,,,0.3204618045225625,2.9634778868827123e-13,,,1.092847997070329,0.1339347399465741,0.3009348448824063,16.411249392022526
US_Distinctive_Term_Frequency,,,,,,,,regression_full_model,,,,,,,,,,0.5753067440371243,1.2100138840490066e-30,,,10.5615069398813,15.024936499824998,0.5631029148427888,47.14149427002444
